year,brand,count
1973,chevrolet,1
1984,ford,1
1993,gmc,1
1994,ford,2
1995,chevrolet,1
1996,ford,2
1997,ford,2
1998,chevrolet,1
1998,ford,3
1999,jeep,1
2000,chrysler,1
2000,ford,1
2000,cadillac,1
2000,bmw,1
2001,dodge,1
2001,ford,2
2001,jeep,1
2001,chevrolet,1
2002,dodge,1
2002,ford,1
2003,ford,4
2003,honda,1
2003,chevrolet,3
2003,gmc,1
2004,chevrolet,3
2004,ford,2
2004,gmc,1
2005,dodge,1
2005,chrysler,1
2005,ford,1
2005,audi,1
2005,chevrolet,1
2005,lincoln,1
2006,dodge,1
2006,ford,3
2006,buick,1
2006,chevrolet,3
2007,dodge,2
2007,chrysler,1
2007,chevrolet,2
2007,ford,1
2008,toyota,1
2008,ford,4
2008,dodge,1
2008,chevrolet,7
2008,chrysler,1
2008,acura,1
2008,audi,1
2008,bmw,1
2008,kia,1
2009,dodge,1
2009,chevrolet,2
2009,mazda,1
2009,heartland,1
2009,ford,2
2009,gmc,2
2009,acura,1
2009,peterbilt,1
2010,chevrolet,5
2010,heartland,1
2010,honda,1
2010,ford,5
2010,peterbilt,1
2011,ford,7
2011,chevrolet,8
2011,dodge,2
2011,bmw,1
2011,heartland,1
2011,gmc,3
2011,chrysler,1
2012,dodge,15
2012,ford,36
2012,heartland,1
2012,gmc,2
2012,peterbilt,2
2012,chevrolet,4
2012,hyundai,1
2012,nissan,11
2013,ford,49
2013,chevrolet,12
2013,kia,1
2013,bmw,1
2013,dodge,17
2013,nissan,6
2014,ford,54
2014,buick,1
2014,dodge,30
2014,chevrolet,11
2014,jeep,2
2014,bmw,2
2014,hyundai,1
2014,honda,1
2014,acura,1
2014,nissan,1
2015,chevrolet,22
2015,chrysler,1
2015,dodge,19
2015,ford,124
2015,cadillac,2
2015,honda,3
2015,audi,1
2015,hyundai,2
2015,mercedes-benz,2
2015,nissan,20
2016,infiniti,1
2016,mercedes-benz,2
2016,ford,110
2016,dodge,18
2016,chevrolet,43
2016,cadillac,2
2016,bmw,4
2016,buick,2
2016,honda,2
2016,harley-davidson,1
2016,nissan,16
2016,mazda,1
2016,kia,1
2017,gmc,27
2017,ford,178
2017,chrysler,4
2017,chevrolet,61
2017,dodge,33
2017,buick,7
2017,bmw,6
2017,cadillac,4
2017,hyundai,2
2017,kia,6
2017,nissan,39
2017,audi,1
2017,maserati,1
2017,mercedes-benz,2
2017,honda,4
2017,lexus,1
2017,ram,1
2018,dodge,63
2018,chevrolet,38
2018,kia,2
2018,buick,1
2018,ford,148
2018,chrysler,1
2018,heartland,1
2018,nissan,131
2018,land,4
2018,mercedes-benz,3
2018,gmc,3
2019,jeep,26
2019,chrysler,6
2019,chevrolet,56
2019,ford,476
2019,dodge,226
2019,kia,1
2019,infiniti,11
2019,jaguar,1
2019,hyundai,9
2019,lincoln,1
2019,mercedes-benz,1
2019,gmc,2
2019,buick,1
2019,cadillac,1
2019,nissan,74
2020,kia,1
2020,chrysler,1
2020,chevrolet,12
2020,bmw,1
2020,lexus,1
2020,dodge,1
2020,ford,17
2020,nissan,14
